,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
100623,67571.0,-0.758468652663917,-0.0454102784513458,-0.168438290153528,-1.31327481447103,-1.9017625315847,0.739433414882114,3.07189204639003,-0.483422244220096,0.61820276215476,-1.7690597207318,-0.651414013964987,-0.0054232908009888,-0.517194341398293,0.217469760178719,0.883558824493356,-1.17397764863161,0.24334710955825,-0.342300728238465,0.68705620239513,-0.0324998988871344,0.0426194565214976,0.397223782011498,0.0722288654476503,-0.242275996603303,0.560916469624214,-0.540954584325348,0.150606446374032,-0.117140114799884,549.06
249068,154228.0,2.17600349040032,-0.741077520797598,-1.43116656445327,-1.06370644071674,-0.34054562328251,-0.828536977089597,-0.375134264249164,-0.275678576547248,-0.855298976778579,1.02013755009278,0.92531994115172,0.272663949607055,0.719522994245302,0.10521208883169,-0.362513093983173,1.08949945745949,-0.19574248993258,-0.855650988404085,0.757169007282999,0.0386257120098414,0.481847592457992,1.38888649517274,-0.0759372081496451,-0.318279631923384,0.21723955725152,0.0716070995950365,-0.0385720817747778,-0.0765360579965477,25.0
91281,63393.0,1.36192712033632,-0.76583169395919,0.516151308463488,-1.00295348780531,-0.84374493340008,0.284293442505852,-1.061178959326,0.102903005596789,-0.703172336663585,0.742585768254611,0.475337251614057,0.101677531198752,1.24743334726447,-0.476955280369978,0.41300516482973,1.98064126013131,-0.663893562845237,-0.0723126255239207,0.937839564889529,0.246061061723103,0.38223203296893,1.00770873041586,-0.292950676584907,-0.771063375067526,0.57001010506472,0.0002208660363346,0.0324446313009846,0.0102557920545506,39.0
130469,79360.0,-3.58413334868278,2.34181804759104,0.154442210708617,0.110757320625913,-2.13740099584967,-0.18988186081585,-1.70755676122275,2.32769220422306,0.230098254942644,-0.586892137462755,-1.97640220705881,0.671763220217028,0.229582251016018,0.763305458110078,0.0064827647678627,0.723219993079658,0.514022291910402,0.240929684687494,0.260723449908802,-0.0856555240570727,0.0145301655096437,-0.251122485207981,-0.110459494616929,-0.0912752893996724,0.52065232862973,0.394580562022459,-0.254799032255077,-0.0445818307852021,13.57
228786,145663.0,2.12938611286978,-0.0470180914496161,-1.49374246156238,0.157002151962735,0.445250428809948,-0.517159299026901,0.18133044432875,-0.270911635985131,0.534277727394859,0.0516939038892587,-1.54083723141754,0.385403985030602,0.756590658488935,0.115897325320278,0.107650056919004,0.117773829297581,-0.642150693962391,-0.679651900497944,0.466186306244129,-0.165681880286544,-0.34696361760671,-0.826037852552724,0.211984317124249,-1.04920175217656,-0.155845604895559,0.264450863435023,-0.0654088817854371,-0.0701840705127989,0.89
119137,75345.0,-1.25143934670951,0.249232563625907,2.89750936554737,1.59187762320147,0.0522579753734046,0.695399252844406,0.762769794713585,0.102524321696076,-0.636685183944138,-0.180223159617659,-0.706296196262299,-0.10955600559851,0.337974297629754,-0.690066372515487,-0.181342204251599,0.564397922311328,-0.642164690322358,-0.290926082651118,-1.94792486604783,0.330601887481911,0.247385268991807,0.600375189592087,0.0230786110526081,0.0773675420384935,0.388560951720724,0.0168817520477281,-0.151782861759908,-0.133066058190314,152.13
253264,156168.0,1.91512995222649,-1.24372683341672,-0.628234171825989,-0.457546287286865,-1.04423575438801,-0.0082108016473509,-0.957488773477877,0.0933988991459876,-0.191862487218013,0.973558836759449,0.528472708838129,0.435464482324912,-0.103625078656346,0.045361901256582,-0.281348734343896,-0.956085076333416,-0.46143138695589,1.79483849417486,-0.711146787706264,-0.404471338623923,-0.161617942183629,-0.115489644917375,0.228759714121177,0.765257357554951,-0.473137440804621,0.567656340975786,-0.043808551398286,-0.0349965181959631,98.0
154454,101597.0,0.91311613528992,1.1453810871791,-4.60287793273505,2.09180337375362,-0.473223859280585,-2.0854358325571,-1.67124403232231,0.0943965856348779,0.337798765397573,-4.4318096317282,4.87197985976052,-5.39522117678937,1.33250215621937,-4.60379669207464,-0.77731354811867,-2.57189156103509,-3.00361530529652,-0.225441388417525,0.252273565031692,0.50898474829098,0.40141574109896,-0.0849334160429759,-0.197684434494785,-0.283271078982557,0.387597335722074,-0.553526986386025,0.516274456782261,0.270828187083758,147.87
84400,60288.0,1.06545035559125,-0.165953900528541,1.26601071815245,1.181324437038,-0.777678645210316,0.585782165931943,-0.772173164814961,0.403695591551235,0.699730366189912,-0.0634709336046258,1.04690747843282,1.00422522579543,-0.542207992362097,-0.0408839784030198,-0.218130324879301,0.004920658100322,-0.194475107360932,0.0428315205017062,-0.276243152988657,-0.183544089012126,0.0116761828626377,0.214038673149397,0.0176407640447584,0.0155106467193195,0.296225103860673,-0.395316419634124,0.0819324000761067,0.0238172355885188,9.99
102445,68207.0,-13.1926709562391,12.785970638298,-9.90665002092758,3.32033688288942,-4.80117593230105,5.76005855618556,-18.7508891580107,-37.3534426378925,-0.391539743919107,-5.05250236713858,4.40680552357904,-4.61075647740608,-1.90948796970811,-9.07271093398351,-0.226074450896345,-6.21155748212485,-6.24814535335983,-3.14924669470095,0.0515761185277783,-3.49304991519446,27.2028391573154,-8.88701714094871,5.30360690376998,-0.639434802306313,0.263203123457008,-0.108876929971315,1.26956635541013,0.939407362758877,1.0
